place	lat	long	title	date
High Street	56.4398	-2.9417	DUNDEE MUNICIPAL CANDIDATE	1950-03-23
Park Road	56.6317	-2.7677		1950-03-23
Caledonian Road	56.7384	-2.6617	Provost's Choirs Sweep Boards	1950-03-23
3 Caledonian Road	56.7384	-2.6617	Provost's Choirs Sweep Boards	1950-03-23
1 Caledonian Road	56.7384	-2.6617	Provost's Choirs Sweep Boards	1950-03-23
Montrose	56.7092	-2.4672	Provost's Choirs Sweep Boards	1950-03-23
Arbroath	56.5623	-2.5841	Provost's Choirs Sweep Boards	1950-03-23
West Port	56.5583	-2.5881	ST ANDREWS LIGHTS FOR QUEEN’S VISIT	1950-03-23
Edzell	56.8097	-2.6557	KING, QUEEN AND PRINCESS GIVE TO THANKS FUND	1950-03-23
DUNDEE	56.4584	-2.9737	KING, QUEEN AND PRINCESS GIVE TO THANKS FUND	1950-03-23
Johnshaven	56.7945	-2.3365	MEARNS ESTATES	1950-03-23
3 Mid Street	56.7949	-2.3348	MEARNS ESTATES	1950-03-23
1 West Street	56.7909	-2.3455	MEARNS ESTATES	1950-03-23
Kirkton	56.7731	-2.4120	MEARNS ESTATES	1950-03-23
St Cyrus	56.7740	-2.4177	MEARNS ESTATES	1950-03-23
Inverbervie	56.8447	-2.2798	MEARNS ESTATES	1950-03-23
Forfar	56.6441	-2.8890		1950-03-23
Gray Street	56.4670	-2.8731		1950-03-23
Dundee	56.4584	-2.9737		1950-03-23
7 Fraser Street	56.4721	-2.9817	GOLD COAST POST FOR DUNDEE MAN	1950-03-23
Forfar	56.6441	-2.8890	TRACTOR WAS BROKEN IN TWO	1950-03-23
420 Blackness Road	56.4607	-3.0034		1950-03-23
18 Rosebank Road	56.4670	-2.9757		1950-03-23
Montrose	56.7092	-2.4672	Put In Her Finger And Pulled Out	1950-03-23
Arbroath	56.5623	-2.5841	EXCHANGE WHEAT WITH CANADA	1950-03-23
Arbroath	56.5623	-2.5841	FORTY YEARS OF FIRST-AID	1950-03-23
Longforgan	56.4575	-3.1177	OPENING OF NEW PLAYING FIELD	1950-03-23
Dundee	56.4584	-2.9737	EXTRA TIME WINNER FOR ARSENAL	1950-03-23
28 Baxter Park Terrace	56.4715	-2.9529	BOWLING.	1950-03-23
Arbroath	56.5623	-2.5841	THIRDS’ CHOICE FOR DENS PARK	1950-03-23
Montrose	56.7092	-2.4672	THIRDS’ CHOICE FOR DENS PARK	1950-03-23
Elliot Road	56.4619	-3.0197	HOCKEY	1950-03-23
FORFAR	56.6441	-2.8890	HOCKEY	1950-03-23
Dundee	56.4584	-2.9737	EDDIE BROWN IN SEMI-FINAL	1950-03-23
Dundee	56.4584	-2.9737	MEN'S HOCKEY	1950-03-23
DUNDEE	56.4584	-2.9737	Courier and Advertiser	1950-03-24
Broughty Ferry	56.4674	-2.8761	MARIONETTES OF STATE MANDARINS	1950-03-24
Monifieth	56.4831	-2.8161	MARIONETTES OF STATE MANDARINS	1950-03-24
64 Reform Street	56.4614	-2.9712	MARIONETTES OF STATE MANDARINS	1950-03-24
Dundee	56.4584	-2.9737	MARIONETTES OF STATE MANDARINS	1950-03-24
Dundee	56.4584	-2.9737	BROKEN HOMES MEAN CRUELTY TO BAIRNS	1950-03-24
Dundee	56.4584	-2.9737	WALKED OFF WITH WIRELESS	1950-03-24
8 Garland Place	56.4347	-2.9484	WALKED OFF WITH WIRELESS	1950-03-24
Kirkton	56.6088	-2.9439	Wife Must Return Shirts To Husband	1950-03-24
Forfar	56.6441	-2.8890	Wife Must Return Shirts To Husband	1950-03-24
16 Arbroath Road	56.6446	-2.8727	Wife Must Return Shirts To Husband	1950-03-24
Dundee	56.4584	-2.9737	Wife Must Return Shirts To Husband	1950-03-24
Arbroath	56.5623	-2.5841	STOLEN GOODS FOUND AFTER FIRE	1950-03-24
Lunan	56.6642	-2.5075	STOLEN GOODS FOUND AFTER FIRE	1950-03-24
Broughty Ferry	56.4674	-2.8761	TOURING BOWLERS APPOINT CAPTAIN	1950-03-24
Arbroath	56.5623	-2.5841	COMEDY TREAT AT LONGFORGAN	1950-03-24
Arbroath	56.5623	-2.5841	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Marketgate	56.5572	-2.5829	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Dundee	56.4584	-2.9737	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Montrose	56.7092	-2.4672	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Forfar	56.6441	-2.8890	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Brechin	56.7322	-2.6603	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Edzell	56.8097	-2.6557	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
Broughty Ferry	56.4674	-2.8761	RECORD ENTRY FOR ARBROATH TOURNEY	1950-03-24
DUNDEE	56.4584	-2.9737	Glasgow Stock Prices	1950-03-24
Cortachy	56.7249	-2.9922	SHIPPING MOVEMENTS,	1950-03-24
Dundee	56.4584	-2.9737	Look Out, Al Jolson	1950-03-24
Dundee	56.4584	-2.9737	DUNDEE JUTE MARKET	1950-03-24
Millhill	56.4797	-2.8328	FOURTH WINNER MAKES BEST PRICE	1950-03-24
Dundee	56.4584	-2.9737	hockey sevens teams	1950-03-24
Dundee	56.4584	-2.9737	BLOOD DONORS NEEDED	1950-03-24
Montrose	56.7092	-2.4672	BLOOD DONORS NEEDED	1950-03-24
53 Hill Street	56.4712	-2.9797	YOUNG DUNDEE MOTHER JAILED FOR NEGLECT	1950-03-24
Dundee	56.4584	-2.9737	YOUNG DUNDEE MOTHER JAILED FOR NEGLECT	1950-03-24
34 St Thomas Crescent	56.5659	-2.5822		1950-03-24
Arbroath	56.5623	-2.5841		1950-03-24
South Ward Road	56.4608	-2.9755	THREE DUNDEE MEN SENT TO PRISON	1950-03-24
34 Blackness Road	56.4607	-3.0034	THREE DUNDEE MEN SENT TO PRISON	1950-03-24
10 Hunter Street	56.4595	-2.9819	THREE DUNDEE MEN SENT TO PRISON	1950-03-24
Fisheracre	56.5641	-2.5840	DOG GOES TO COURT	1950-03-24
Arbroath	56.5623	-2.5841	DOG GOES TO COURT	1950-03-24
Dundee	56.4584	-2.9737	NEW CIVIC RENTS PLAN OUTLINED	1950-03-24
Liff	56.4858	-3.0850	MAN WHO SHOT DOG IS FINED	1950-03-24
Kirkton	56.4140	-3.0357	MAN WHO SHOT DOG IS FINED	1950-03-24
Auchterhouse	56.5249	-3.0869	MAN WHO SHOT DOG IS FINED	1950-03-24
Montrose	56.7092	-2.4672	FUTURE OF MONTROSE NURSING FUNDS	1950-03-24
Dundee	56.4584	-2.9737	NEW BIGGING SCHOOL FILMS START	1950-03-24
Dundee	56.4584	-2.9737	MINER ON EXPLOSIVES CHARGE	1950-03-24
Dundee	56.4584	-2.9737	Dundee Courier and Advertiser	1950-03-24
Eassie	56.6113	-3.0673	‘MILCH COW’ TAG RILES SCOTS	1950-03-24
Montrose	56.7092	-2.4672		1950-03-24
Arbroath	56.5623	-2.5841	He’s Got The Key To Yale	1950-03-24
Dundee	56.4584	-2.9737	Sunny Fashion Show Features Raincoats	1950-03-24
23 Panmure Street	56.4681	-2.8635	Bakers Bill Was 2d A Week	1950-03-24
Arbroath	56.5623	-2.5841	Bakers Bill Was 2d A Week	1950-03-24
25 Castle Street	56.4602	-2.9677	Bakers Bill Was 2d A Week	1950-03-24
Dundee	56.4584	-2.9737	Bakers Bill Was 2d A Week	1950-03-24
Panmure Street	56.4681	-2.8635	Bakers Bill Was 2d A Week	1950-03-24
Dundee	56.4584	-2.9737	“AD CONDITION”OF DUNDEE CHURCH	1950-03-24
Newbigging	56.5269	-2.9412	“AD CONDITION”OF DUNDEE CHURCH	1950-03-24
Dundee	56.4584	-2.9737	SHED CLUE CAUGHT HEN THIEF	1950-03-24
Monikie	56.5335	-2.8134	SHED CLUE CAUGHT HEN THIEF	1950-03-24
Mauchline Avenue	56.4793	-2.9323	SHED CLUE CAUGHT HEN THIEF	1950-03-24
Dundee	56.4584	-2.9737	HINTS TO DUNDEE HORTICULTURISTS	1950-03-24
West Ferry	56.4728	-2.8947	HINTS TO DUNDEE HORTICULTURISTS	1950-03-24
428 Blackness Road	56.4607	-3.0034	HINTS TO DUNDEE HORTICULTURISTS	1950-03-24
Invergowrie	56.4596	-3.0621	HINTS TO DUNDEE HORTICULTURISTS	1950-03-24
Monikie	56.5335	-2.8134	HINTS TO DUNDEE HORTICULTURISTS	1950-03-24
Dundee	56.4584	-2.9737	Perth Singers Entrance Judge	1950-03-24
Arbroath	56.5623	-2.5841	Perth Singers Entrance Judge	1950-03-24
Dundee	56.4584	-2.9737	WOMAN CHAIRS SECOND TIME	1950-03-24
Dundee	56.4584	-2.9737		1950-03-24
Brechin	56.7322	-2.6603		1950-03-24
Montrose	56.7092	-2.4672		1950-03-24
Dundee	56.4584	-2.9737	GIRL OF 5 KILLED BY BUS	1950-03-24
15 Greendykes Road	56.4708	-2.9282	GIRL OF 5 KILLED BY BUS	1950-03-24
Broughty Ferry Road	56.4685	-2.9325	GIRL OF 5 KILLED BY BUS	1950-03-24
Broughty Ferry	56.4674	-2.8761	GIRL OF 5 KILLED BY BUS	1950-03-24
4 Queen Street	56.4644	-2.9657	GIRL OF 5 KILLED BY BUS	1950-03-24
Queen Street	56.4644	-2.9657	GIRL OF 5 KILLED BY BUS	1950-03-24
Dundee	56.4584	-2.9737	MORGAN ACADEMY TEACHER DEAD	1950-03-24
2 Nelson Terrace	56.4669	-2.9676	MORGAN ACADEMY TEACHER DEAD	1950-03-24
Edzell	56.8097	-2.6557	SCOTSWOMAN AND CHILD CHOSEN	1950-03-24
Dundee	56.4584	-2.9737	Midlands Rugby “Sevens” Draw	1950-03-24
Forfar Road	56.4847	-2.9514	Midlands Rugby “Sevens” Draw	1950-03-24
Arbroath	56.5623	-2.5841	Midlands Rugby “Sevens” Draw	1950-03-24
15 River Street	56.7062	-2.4674	MONTROSE DRIVER FINED	1950-03-24
Montrose	56.7092	-2.4672	MONTROSE DRIVER FINED	1950-03-24
Strathview	56.6296	-2.8962	MONTROSE DRIVER FINED	1950-03-24
Edzell	56.8097	-2.6557	MONTROSE DRIVER FINED	1950-03-24
Dundee	56.4584	-2.9737	WOMEN'S HOCKEY OFFICIALS	1950-03-24
Dundee	56.4584	-2.9737		1950-03-24
Montrose	56.7092	-2.4672	ANGUS JUNIOR LEAGUE.	1950-03-24
Arbroath	56.5623	-2.5841	ANGUS JUNIOR LEAGUE.	1950-03-24
Brechin	56.7322	-2.6603	ANGUS JUNIOR LEAGUE.	1950-03-24
East End	56.8287	-2.2822	ANGUS JUNIOR LEAGUE.	1950-03-24
ARBROATH	56.5623	-2.5841	BOWLING.	1950-03-24
Dundee	56.4584	-2.9737	GERRIE DOUBT FOR DENS	1950-03-24
Montrose	56.7092	-2.4672	GERRIE DOUBT FOR DENS	1950-03-24
Arbroath	56.5623	-2.5841	GERRIE DOUBT FOR DENS	1950-03-24
Brechin	56.7322	-2.6603	GERRIE DOUBT FOR DENS	1950-03-24
Carnoustie	56.5014	-2.7090	GERRIE DOUBT FOR DENS	1950-03-24
Beechwood Park	56.5038	-2.7248	GERRIE DOUBT FOR DENS	1950-03-24
Westfield Park	56.6372	-2.9056	GERRIE DOUBT FOR DENS	1950-03-24
Taylor's Lane	56.4544	-2.9936	GERRIE DOUBT FOR DENS	1950-03-24
DUNDEE	56.4584	-2.9737	CURLING.	1950-03-24
Longforgan	56.4575	-3.1177	THEY’RE GO-AHEAD IN THE REJUVENATED VILLAGE	1950-03-24
Dundee	56.4584	-2.9737	THEY’RE GO-AHEAD IN THE REJUVENATED VILLAGE	1950-03-24
DUNDEE	56.4584	-2.9737	Courier and Advertiser	1950-03-25
Bell Street	56.4511	-2.8867	THE COLLEGE OF ART	1950-03-25
Dundee	56.4584	-2.9737	THE COLLEGE OF ART	1950-03-25
Dundee	56.4584	-2.9737	DUNDEE UNIONISTS' DECISION	1950-03-25
Glamis	56.6084	-3.0038	LOSS TO ANGUS FARMING	1950-03-25
Clova	56.8441	-3.1045	LOSS TO ANGUS FARMING	1950-03-25
Kirkton	56.6088	-2.9439	LOSS TO ANGUS FARMING	1950-03-25
Monikie	56.5335	-2.8134	LOSS TO ANGUS FARMING	1950-03-25
Brechin	56.7322	-2.6603	The Bairns Will Enjoy This Show	1950-03-25
Montrose	56.7092	-2.4672	The Bairns Will Enjoy This Show	1950-03-25
Arbroath	56.5623	-2.5841	The Bairns Will Enjoy This Show	1950-03-25
Craigie	56.4777	-2.9307	The Bairns Will Enjoy This Show	1950-03-25
3 Dundee Road West	56.4684	-2.9142	The Bairns Will Enjoy This Show	1950-03-25
Dundee	56.4584	-2.9737	VETERANS AT DINNER	1950-03-25
Forfar	56.6441	-2.8890	VETERANS AT DINNER	1950-03-25
Forfar	56.6441	-2.8890		1950-03-25
Logie	56.7618	-2.4938	It’s Good To Be Nervous	1950-03-25
Edzell	56.8097	-2.6557	SERVED FOR 40 YEARS IN ASSAM	1950-03-25
Monikie	56.5335	-2.8134	SERVED FOR 40 YEARS IN ASSAM	1950-03-25
Forfar	56.6441	-2.8890		1950-03-25
58 Carlochie Place	56.4710	-2.9296	Grove Pupils On The Air	1950-03-25
Dundee	56.4584	-2.9737	Grove Pupils On The Air	1950-03-25
16 Duntrune Terrace	56.4749	-2.8888	Grove Pupils On The Air	1950-03-25
Douglas Street	56.4626	-2.9841		1950-03-25
South Street	56.6423	-2.8746		1950-03-25
Reform Street	56.4614	-2.9712		1950-03-25
69 Union Street	56.8112	-2.6574		1950-03-25
Montrose	56.7092	-2.4672	Angus Woman Sues Son-In-Law	1950-03-25
139 High Street	56.7115	-2.4683	Angus Woman Sues Son-In-Law	1950-03-25
Dundee	56.4584	-2.9737	ENGINEERS' VIEWS ON NEW INDUSTRY	1950-03-25
Edzell	56.8097	-2.6557		1950-03-25
Forfar	56.6441	-2.8890		1950-03-25
Edzell	56.8097	-2.6557	Keithock Estate’s New Owner	1950-03-25
Brechin	56.7322	-2.6603	Keithock Estate’s New Owner	1950-03-25
Forfar	56.6441	-2.8890	Crieff Mother’s Festival Success	1950-03-25
Dundee	56.4584	-2.9737	KIRKCALDY GRAND PRIX FILM ON SHOW	1950-03-25
Dundee	56.4584	-2.9737	JUTE PROBLEMS REVIEWED	1950-03-25
24 King Street	56.4419	-2.9384	SIX ON LEET FOR DUNDEE POST	1950-03-25
31 Bruce Street	56.4717	-2.9802	ST ANDREWS BLACK WATCH OFFICIALS	1950-03-25
Carnoustie	56.5014	-2.7090	AWARDS TO CARNOUSTIE P.O. DRIVERS	1950-03-25
Glamis	56.6084	-3.0038	DISPERSAL SALE AT PERTH	1950-03-25
Forfar	56.6441	-2.8890	DISPERSAL SALE AT PERTH	1950-03-25
16 Pitkerro Road	56.4792	-2.9430	NEW COMPANIES	1950-03-25
62 Frederick Street	56.4888	-2.9959	NEW COMPANIES	1950-03-25
Dundee	56.4584	-2.9737	NEW COMPANIES	1950-03-25
Brechin	56.7322	-2.6603	NEW COMPANIES	1950-03-25
15 West Road	56.4343	-2.9508	NEW COMPANIES	1950-03-25
Arbroath	56.5623	-2.5841	NEW COMPANIES	1950-03-25
Kinnaird	56.7076	-2.5983	livestock prices	1950-03-25
Newbigging	56.5269	-2.9412	livestock prices	1950-03-25
Braeside	56.5370	-3.0622	livestock prices	1950-03-25
Arbroath	56.5623	-2.5841	SHIPPING MOVEMENTS.	1950-03-25
Glamis	56.6084	-3.0038	SHIPPING MOVEMENTS.	1950-03-25
Cortachy	56.7249	-2.9922	SHIPPING MOVEMENTS.	1950-03-25
FORFAR	56.6441	-2.8890	NO SUNDAY BOWLS AT EDZELL	1950-03-25
Kirkriggs	56.6415	-2.8850	NO SUNDAY BOWLS AT EDZELL	1950-03-25
Forfar	56.6441	-2.8890	NO SUNDAY BOWLS AT EDZELL	1950-03-25
DUNDEE	56.4584	-2.9737	CURLING.	1950-03-25
Dundee	56.4584	-2.9737	Never-Say-Die Queen’s- Ask Rangers!	1950-03-25
Arbroath	56.5623	-2.5841	Never-Say-Die Queen’s- Ask Rangers!	1950-03-25
Forfar	56.6441	-2.8890	Never-Say-Die Queen’s- Ask Rangers!	1950-03-25
DUNDEE	56.4584	-2.9737	TO-DAY'S TEAMS	1950-03-25
Dundee	56.4584	-2.9737	KING'S TEAMS IN TITLE FIGHT	1950-03-25
BRECHIN	56.7322	-2.6603	KING'S TEAMS IN TITLE FIGHT	1950-03-25
Forfar	56.6441	-2.8890		1950-03-25
Dundee	56.4584	-2.9737	AIR CADETS’ NEW ADJUTANT	1950-03-25
Carnoustie	56.5014	-2.7090	POSTMEN GET SAFEDRIVING AWARDS	1950-03-25
Dundee	56.4584	-2.9737	PUBLIC SCHOOL COMEDY AT DUNDEE “REP.”	1950-03-28
3 Blinshall Street	56.4621	-2.9820		1950-03-28
Liff	56.4858	-3.0850	MINISTER AT LIFF FOR 25 YEARS	1950-03-28
Arbroath	56.5623	-2.5841		1950-03-28
Dundee	56.4584	-2.9737	Perth Cyclist’s Winning Way	1950-03-28
West Ferry	56.4728	-2.8947	Driver Didn’t Know Load Was On Fire	1950-03-28
Dundee	56.4584	-2.9737	Driver Didn’t Know Load Was On Fire	1950-03-28
Carnoustie	56.5014	-2.7090	Driver Didn’t Know Load Was On Fire	1950-03-28
Arbroath	56.5623	-2.5841	Driver Didn’t Know Load Was On Fire	1950-03-28
Montrose	56.7092	-2.4672	Driver Didn’t Know Load Was On Fire	1950-03-28
Forfar	56.6441	-2.8890	Driver Didn’t Know Load Was On Fire	1950-03-28
Kirriemuir	56.6731	-3.0045	Driver Didn’t Know Load Was On Fire	1950-03-28
Dundee Road	56.6286	-2.8978	Driver Didn’t Know Load Was On Fire	1950-03-28
Green Street	56.6455	-2.8853	Driver Didn’t Know Load Was On Fire	1950-03-28
Dundee	56.4584	-2.9737	DUNDEE COMPANY'S RECORD REVENUE	1950-03-28
Glamis	56.6084	-3.0038	FORFAR LIVESTOCK PRICES	1950-03-28
Monikie	56.5335	-2.8134	RUS PUSHED LORRY 41 FEET ALONG ROAD	1950-03-28
Broughty Ferry	56.4674	-2.8761	MASSES 150- YEAR MARK	1950-03-28
Arbroath	56.5623	-2.5841	She Has Been Going A’milking For 30 Years	1950-03-28
York Place	56.7159	-2.4704	Hole In Wall Held Young Gang’s Loot	1950-03-28
Whitehall Street	56.4598	-2.9710	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
16 Whitehall Street	56.4598	-2.9710	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
Commercial Street	56.4614	-2.9681	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
Union Street	56.4666	-2.8756	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
21 Crichton Street	56.4597	-2.9695	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
South Tay Street	56.4583	-2.9762	DUNDEE TV DATE IS AUTUMN 1951	1950-03-28
12 City Road	56.4653	-2.9996	FAR EAST TRIP FOR BEST CADET	1950-03-28
Dundee	56.4584	-2.9737	FAR EAST TRIP FOR BEST CADET	1950-03-28
39 Reform Street	56.4614	-2.9712	FAR EAST TRIP FOR BEST CADET	1950-03-28
Dundee	56.4584	-2.9737	ANTI-SOCIALISTS EXTEND FRONT	1950-03-28
Dundee	56.4584	-2.9737	COUNTY COMMANDANT FOR G.T.C.	1950-03-28
Montrose	56.7092	-2.4672		1950-03-28
New Street	56.4433	-2.8805	COLLIERY FUMES KILL TWO MEN	1950-03-28
ARBROATH	56.5623	-2.5841	OXFORD GOLFERS ARE FAVOURITES	1950-03-28
Dundee	56.4584	-2.9737		1950-03-28
Monifieth	56.4831	-2.8161		1950-03-28
Arbroath	56.5623	-2.5841		1950-03-28
Arbirlot	56.5546	-2.6512	DISTRICT NURSING HAND-OYER	1950-03-28
Arbroath	56.5623	-2.5841	DISTRICT NURSING HAND-OYER	1950-03-28
58 Woodlands Terrace	56.4799	-2.9659	SERVED LIQUOR AFTER HOURS	1950-03-28
Dundee	56.4584	-2.9737	SERVED LIQUOR AFTER HOURS	1950-03-28
89 Monifieth Road	56.4688	-2.8616	SERVED LIQUOR AFTER HOURS	1950-03-28
Brechin	56.7322	-2.6603	COUNTY CUP SEMI AT TANNADICE	1950-03-28
Tannadice	56.7124	-2.8591	COUNTY CUP SEMI AT TANNADICE	1950-03-28
Arbroath	56.5623	-2.5841	ARBROATH TEAM FOR CUP-TIE	1950-03-28
20 Airlie Place	56.4572	-2.9817	BOWLING.	1950-03-28
9 Marchfield Road	56.4599	-3.0073	BOWLING.	1950-03-28
343 Blackness Road	56.4607	-3.0034	BOWLING.	1950-03-28
Carnoustie	56.5014	-2.7090	BIGGER LEAGUES IN ENGLAND	1950-03-28
Craigie	56.4777	-2.9307	BIGGER LEAGUES IN ENGLAND	1950-03-28
Monifieth	56.4831	-2.8161	BIGGER LEAGUES IN ENGLAND	1950-03-28
East End	56.8287	-2.2822	ANGUS JUNIOR FIXTURES	1950-03-28
Brechin	56.7322	-2.6603	ANGUS JUNIOR FIXTURES	1950-03-28
Arbroath	56.5623	-2.5841	ANGUS JUNIOR FIXTURES	1950-03-28
Gourdon	56.8281	-2.2871	ANGUS JUNIOR FIXTURES	1950-03-28
St Cyrus	56.7740	-2.4177	ANGUS JUNIOR FIXTURES	1950-03-28
Arbroath	56.5623	-2.5841	LEAGUE GUIDE TO FORM I	1950-03-28
Dundee	56.4584	-2.9737	KENNY AND ROWAN MATCHED	1950-03-28
Arbroath	56.5623	-2.5841	REGION BOARD ACCUSED OF DICTATION	1950-03-29
Brechin	56.7322	-2.6603		1950-03-29
Monifieth	56.4831	-2.8161	SHEPHERDS JOIN NIGHT HUNTS FOR KILLER DOGS	1950-03-29
Logie	56.7618	-2.4938		1950-03-29
Brechin	56.7322	-2.6603	LIVESTOCK PRICES	1950-03-29
Brechin	56.7322	-2.6603	BRECHIN SALE OF IMPLEMENTS	1950-03-29
305 Clepington Road	56.4776	-2.9729	SHERIFF RULES ACADEMY FEES MUST BE PAID	1950-03-29
Dundee	56.4584	-2.9737	SHERIFF RULES ACADEMY FEES MUST BE PAID	1950-03-29
4 Forester Street	56.4622	-2.9761	WAS CITY’S FIRST LIGHTING INSPECTOR	1950-03-29
Dundee	56.4584	-2.9737	WAS CITY’S FIRST LIGHTING INSPECTOR	1950-03-29
Park Wynd	56.4586	-2.9820	WAS CITY’S FIRST LIGHTING INSPECTOR	1950-03-29
Euclid Crescent	56.4625	-2.9736	WAS CITY’S FIRST LIGHTING INSPECTOR	1950-03-29
Gellatly Street	56.4617	-2.9663	WAS CITY’S FIRST LIGHTING INSPECTOR	1950-03-29
Ardler	56.4860	-3.0161	ARDLER W.V.S. OFFICIALS	1950-03-29
3 Richmond Terrace	56.4546	-2.9994		1950-03-29
Dundee	56.4584	-2.9737		1950-03-29
Logie	56.7618	-2.4938		1950-03-29
Montrose	56.7092	-2.4672	MONTROSE OFFICIALS	1950-03-29
Dundee	56.4584	-2.9737	JOBS WAITING IN FLAX TRADE	1950-03-29
7 Hatton Place	56.4776	-3.0035	RATTRAY TENANCY DISPUTE	1950-03-29
Dundee	56.4584	-2.9737	Student Flyer Says “It’s A Great Sport”	1950-03-29
Montrose	56.7092	-2.4672	FIFE MINISTER’S NEW CHARGE	1950-03-29
DUNDEE	56.4584	-2.9737	TAXES CAUSE OF HIGH PRICES	1950-03-29
Monifieth	56.4831	-2.8161	LORD PROVOST’S REPLY TO PROTESTS	1950-03-29
Kirriemuir	56.6731	-3.0045	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Carnoustie	56.5014	-2.7090	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Monifieth	56.4831	-2.8161	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Arbirlot	56.5546	-2.6512	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Inverarity	56.5877	-2.8914	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Brechin	56.7322	-2.6603	WOMEN VOTERS HOLD BALANCE IN ANGUS	1950-03-29
Montrose	56.7092	-2.4672		1950-03-29
Broughty Ferry	56.4674	-2.8761		1950-03-29
Brechin	56.7322	-2.6603		1950-03-29
High Street	56.4827	-2.8167		1950-03-29
Reform Street	56.4814	-2.8163		1950-03-29
1 Blackness Street	56.4600	-2.9935		1950-03-29
Ancrum Road	56.4687	-3.0084	Views On Corporal Punishment	1950-03-29
Ann Street	56.4683	-2.9695	Views On Corporal Punishment	1950-03-29
Kirkton	56.4140	-3.0357	Views On Corporal Punishment	1950-03-29
Riverside Drive	56.4531	-2.9998	Washing Day At Riverside Drive	1950-03-29
Dundee	56.4584	-2.9737	Washing Day At Riverside Drive	1950-03-29
Forfar	56.6441	-2.8890	SOUTH ANGUS LIBERALUNIONIST OFFICIALS	1950-03-29
31 Victoria Road	56.4657	-2.9680	BUSINESS MAN IS WARD VIII. CANDIDATE	1950-03-29
Monifieth	56.4831	-2.8161	BUSINESS MAN IS WARD VIII. CANDIDATE	1950-03-29
14 Kingsway Place	56.4821	-2.9789	BUSINESS MAN IS WARD VIII. CANDIDATE	1950-03-29
Dundee	56.4584	-2.9737	Dundee Business Club’s New Chief	1950-03-29
Tayport	56.4465	-2.8800	Scotscraig Golfers Had To Wear Uniforms	1950-03-29
Dundee	56.4584	-2.9737	Scotscraig Golfers Had To Wear Uniforms	1950-03-29
CARNOUSTIE	56.5014	-2.7090	Scotscraig Golfers Had To Wear Uniforms	1950-03-29
Montrose	56.7092	-2.4672	DRIVER WAS ON WRONG SIDE OF ROAD	1950-03-29
6 Upper Hall Street	56.7143	-2.4676	DRIVER WAS ON WRONG SIDE OF ROAD	1950-03-29
10 Thomson Terrace	56.7038	-2.4789	DRIVER WAS ON WRONG SIDE OF ROAD	1950-03-29
Dundee	56.4584	-2.9737	Semi-Final	1950-03-29
Arbroath	56.5623	-2.5841	Semi-Final	1950-03-29
BRECHIN	56.7322	-2.6603	Semi-Final	1950-03-29
TANNADICE	56.7124	-2.8591	Semi-Final	1950-03-29
Tannadice	56.7124	-2.8591	Semi-Final	1950-03-29
Station Park	56.8286	-2.2852	Semi-Final	1950-03-29
Carnoustie	56.5014	-2.7090		1950-03-29
Arbroath	56.5623	-2.5841	BOARD’S POLICY CRITICISED	1950-03-29
Montrose	56.7092	-2.4672	MONTROSE MARKSMAN WINS MEDAL.	1950-03-29
75 Strathmore Street	56.4757	-2.8539	Boyhood Hobby Is Now His Life’s Work	1950-03-29
Barnhill	56.4747	-2.8575	Boyhood Hobby Is Now His Life’s Work	1950-03-29
Broughty Ferry	56.4674	-2.8761	Boyhood Hobby Is Now His Life’s Work	1950-03-29
Strathmore Street	56.4757	-2.8539	Boyhood Hobby Is Now His Life’s Work	1950-03-29
49 Mortimer Street	56.4721	-2.9817	Boyhood Hobby Is Now His Life’s Work	1950-03-29
3 Tofthill Place	56.4745	-3.0099	A Special Polka for Nancy’s Wedding	1950-03-30
6 Finavon Terrace	56.4900	-2.9473	A Special Polka for Nancy’s Wedding	1950-03-30
23 Jamieson Street	56.5588	-2.5923	ARBROATH COUPLE’S 50th ANNIVERSARY	1950-03-30
Carnoustie	56.5014	-2.7090	ARBROATH COUPLE’S 50th ANNIVERSARY	1950-03-30
16 Wellington Street	56.7140	-2.4616	MONTROSE PROVOST BEREAVED	1950-03-30
Ferryden	56.6989	-2.4752	MONTROSE PROVOST BEREAVED	1950-03-30
132 Ferry Road	56.4773	-2.8323	SOLICITOR DIES IN DUNDEE STREET	1950-03-30
Monifieth	56.4831	-2.8161	SOLICITOR DIES IN DUNDEE STREET	1950-03-30
