place	lat	long	title	date
Tannadice	56.7124	-2.8591	Hearts Beaten At Their Own Game	1950-01-09
Forfar	56.6441	-2.8890	Hearts Beaten At Their Own Game	1950-01-09
ARBROATH	56.5623	-2.5841	SELECTORS' CLEAN SWEEP	1950-01-09
Arbroath	56.5623	-2.5841	SELECTORS' CLEAN SWEEP	1950-01-09
Montrose	56.7092	-2.4672	Dons In The Doldrums	1950-01-09
Johnshaven	56.7945	-2.3365	Dons In The Doldrums	1950-01-09
St Cyrus	56.7740	-2.4177	Dons In The Doldrums	1950-01-09
Gourdon	56.8281	-2.2871	Dons In The Doldrums	1950-01-09
Arbroath	56.5623	-2.5841	Two Heroes In Cowden Rout	1950-01-09
Brechin	56.7322	-2.6603	Two Heroes In Cowden Rout	1950-01-09
Dundee	56.4584	-2.9737	TEEN-AGERS SELFISH, SAYS MRS M. S. CLARK	1950-01-09
Montrose	56.7092	-2.4672	MONTROSE BRIDE FOR MEARNS MAN	1950-01-09
Ferryden	56.6989	-2.4752	MONTROSE BRIDE FOR MEARNS MAN	1950-01-09
DUNDEE	56.4584	-2.9737	SUNSHINE STORY	1950-01-10
Dundee	56.4584	-2.9737	Closer Look At Factory Scheme	1950-01-10
Arbroath Road	56.4808	-2.8703	Closer Look At Factory Scheme	1950-01-10
5 Union Street	56.4804	-2.8184	Betty Crossed An Ocean And Found Romance	1950-01-10
Dudhope Street	56.4649	-2.9741	Betty Crossed An Ocean And Found Romance	1950-01-10
10 Hayshead Road	56.5649	-2.5771	Betty Crossed An Ocean And Found Romance	1950-01-10
Arbroath	56.5623	-2.5841	Betty Crossed An Ocean And Found Romance	1950-01-10
Arbroath	56.5623	-2.5841	NOTED ARBROATH HEADMASTER DEAD	1950-01-10
Arbroath	56.5623	-2.5841	ARBROATH SCOUT CHANGES	1950-01-10
Friockheim	56.6379	-2.6586	ARBROATH SCOUT CHANGES	1950-01-10
Colliston	56.5967	-2.6458	ARBROATH SCOUT CHANGES	1950-01-10
Inverkeilor	56.6339	-2.5481	ARBROATH SCOUT CHANGES	1950-01-10
Auchmithie	56.5886	-2.5263	ARBROATH SCOUT CHANGES	1950-01-10
Murray Lane	56.7154	-2.4676	MONTROSE TO PRESS FOR BURGH HALL	1950-01-10
Queen Street	56.7147	-2.4656	MONTROSE TO PRESS FOR BURGH HALL	1950-01-10
29 Queen Street	56.7147	-2.4656	MONTROSE TO PRESS FOR BURGH HALL	1950-01-10
31 Queen Street	56.7147	-2.4656	MONTROSE TO PRESS FOR BURGH HALL	1950-01-10
2 Sinclair Street	56.4725	-3.0113		1950-01-10
High Street	56.7115	-2.4683		1950-01-10
Montrose	56.7092	-2.4672		1950-01-10
Queen Street	56.7147	-2.4656		1950-01-10
Union Street	56.7130	-2.4602		1950-01-10
Christie's Lane	56.7108	-2.4583		1950-01-10
Carnoustie	56.5014	-2.7090	PANMURE PLAYER SUSPENDED	1950-01-10
Arbroath	56.5623	-2.5841	ARBROATH CYCLISTS APPOINT OFFICIALS	1950-01-10
Birkhill	56.4960	-3.0549	RATION CARDS STOLEN INSTEAD OF PULPED	1950-01-10
Campbell Street	56.4693	-2.9966	RATION CARDS STOLEN INSTEAD OF PULPED	1950-01-10
Hilltown	56.4690	-2.9746	RATION CARDS STOLEN INSTEAD OF PULPED	1950-01-10
Dundee	56.4584	-2.9737	RATION CARDS STOLEN INSTEAD OF PULPED	1950-01-10
Kinghorne Road	56.4698	-2.9823	RATION CARDS STOLEN INSTEAD OF PULPED	1950-01-10
17 Richmond Terrace	56.4546	-2.9994	TO WED ICE HOCKEY STAR	1950-01-10
Marine Drive	56.4786	-2.8150	£2250 Key Money Penalty	1950-01-10
Montrose	56.7092	-2.4672		1950-01-10
Carnoustie	56.5014	-2.7090	HOUSING CLAIMS AT CARNOUSTIE	1950-01-10
Arbroath	56.5623	-2.5841	HOUSING CLAIMS AT CARNOUSTIE	1950-01-10
Bridgend	56.8044	-2.7600	ERROL MAN DIES IN UNITED STATES	1950-01-10
Montrose	56.7092	-2.4672	BRISKER BUSINESS AT MONTROSE HARBOUR	1950-01-10
Carnoustie	56.5014	-2.7090	W. W. MURPHY IS LEAGUE WINNER	1950-01-10
Arbroath	56.5623	-2.5841	Arbroath Housing Penalty Stays	1950-01-10
Forfar	56.6441	-2.8890	FORFAR LIVESTOCK PRICES	1950-01-10
St Cyrus	56.7740	-2.4177	KINCARDINE JUNIOR LEAGUE	1950-01-10
Dundee	56.4584	-2.9737	Dons Got In First	1950-01-10
Brechin	56.7322	-2.6603	Dons Got In First	1950-01-10
Craigie	56.4777	-2.9307	Dons Got In First	1950-01-10
Montrose	56.7092	-2.4672	Dons Got In First	1950-01-10
Arbroath	56.5623	-2.5841	Dons Got In First	1950-01-10
Forfar	56.6441	-2.8890	Dons Got In First	1950-01-10
East End	56.8287	-2.2822	Dons Got In First	1950-01-10
Brechin	56.7322	-2.6603	BRECHIN BLAMED, IN THIRD PLACE	1950-01-10
Forfar	56.6441	-2.8890	BRECHIN BLAMED, IN THIRD PLACE	1950-01-10
Montrose	56.7092	-2.4672	BRECHIN BLAMED, IN THIRD PLACE	1950-01-10
Arbroath	56.5623	-2.5841	BRECHIN BLAMED, IN THIRD PLACE	1950-01-10
Dundee	56.4584	-2.9737	BRECHIN BLAMED, IN THIRD PLACE	1950-01-10
Ardler	56.4860	-3.0161	ARDLER OLD FOLK ENTERTAINED	1950-01-10
26 Seafield Road	56.5679	-2.5677	DIES AFTER FALL FROM CAR	1950-01-10
DUNDEE	56.4584	-2.9737	ELECTION DATE FIXED	1950-01-11
Woodhaven	56.4331	-2.9535	NEWPORT COUNCILLOR RESIGNS	1950-01-11
Dundee	56.4584	-2.9737	COOLIES CARRIED NEW CAR THROUGH JUNGLE	1950-01-11
Dundee	56.4584	-2.9737	GIVES NEW COMMAND THE ONCE-OVER	1950-01-11
Dundee	56.4584	-2.9737	FAMOUS ANGUS CASTLE SOLD	1950-01-11
Dundee	56.4584	-2.9737	The Minister Took Home Strychnine!	1950-01-11
Dundee	56.4584	-2.9737	DUNDEE BUSINESS CHANGES	1950-01-11
Kingsway	56.4827	-2.9706	DUNDEE BUSINESS CHANGES	1950-01-11
Dundee	56.4584	-2.9737	TRADESMEN SEEK NEWS OF N.Z.	1950-01-11
Edzell	56.8097	-2.6557	ANGUS POLICE PROMOTIONS	1950-01-11
Kirriemuir	56.6731	-3.0045	ANGUS POLICE PROMOTIONS	1950-01-11
Arbroath	56.5623	-2.5841	ANGUS POLICE PROMOTIONS	1950-01-11
Dundee	56.4584	-2.9737	ANGUS POLICE PROMOTIONS	1950-01-11
Tayport	56.4465	-2.8800	TAYPORT MAN'S 40 YEARS RAIL SERVICE	1950-01-11
Dundee	56.4584	-2.9737	TAYPORT MAN'S 40 YEARS RAIL SERVICE	1950-01-11
Dundee	56.4584	-2.9737	ELECTION PLANS FOR DUNDEE ANGUS AND PERTH	1950-01-11
Carnoustie	56.5014	-2.7090		1950-01-11
Dundee	56.4584	-2.9737	SHOE REPAIRS MAY COST MORE IN DUNDEE	1950-01-11
Dundee	56.4584	-2.9737		1950-01-11
Montrose	56.7092	-2.4672		1950-01-11
Arbroath	56.5623	-2.5841		1950-01-11
0 Oxford Street	56.4602	-3.0199	CALL TO ACTION STATIONS	1950-01-11
Dundee	56.4584	-2.9737	PARKISTAN LETS JUTE THROUGH	1950-01-11
Woodhaven	56.4331	-2.9535	Flying Boat Visits Tay	1950-01-11
Arbroath	56.5623	-2.5841	WILLIE'S PLAY TO BE BROADCAST	1950-01-11
Dundee	56.4584	-2.9737	WILLIE'S PLAY TO BE BROADCAST	1950-01-11
Turin	56.6646	-2.7605	STRIKES FLARE UP IN ITALY	1950-01-11
Birkhill	56.4960	-3.0549	WELLBANK HALL GRANT DELAYED	1950-01-11
Bridgend	56.8044	-2.7600	All Over A Shilling	1950-01-11
DUNDEE	56.4584	-2.9737	Canadians Win At Perth	1950-01-11
Dundee	56.4584	-2.9737	Canadians Win At Perth	1950-01-11
Arbroath	56.5623	-2.5841	Canadians Win At Perth	1950-01-11
Glamis	56.6084	-3.0038	Canadians Win At Perth	1950-01-11
Broughty Ferry	56.4674	-2.8761	Canadians Win At Perth	1950-01-11
Pearsie	56.7216	-3.0388	Canadians Win At Perth	1950-01-11
Dundee	56.4584	-2.9737	LATE RALLY SHOOK FLYERS	1950-01-11
Dundee	56.4584	-2.9737	PRESBYTERY HONOUR FOR REV. H. ANDREW	1950-01-11
Dundee	56.4584	-2.9737	Dundee Wants 100 "Home-Helps"	1950-01-11
Gowanbank	56.6482	-2.8638	STIRLING SHOW AND SALE	1950-01-11
Kinnaird	56.7076	-2.5983	STIRLING SHOW AND SALE	1950-01-11
Springfield	56.4571	-2.9861	STIRLING SHOW AND SALE	1950-01-11
9 New Street	56.4433	-2.8805		1950-01-11
DUNDEE	56.4584	-2.9737	Glasgow Stock Prices	1950-01-11
Farnell	56.6899	-2.6090	BRECHIN EDUCATION REPRESENT ATIVES	1950-01-11
Edzell	56.8097	-2.6557	BRECHIN EDUCATION REPRESENT ATIVES	1950-01-11
Tarfside	56.9061	-2.8365	BRECHIN EDUCATION REPRESENT ATIVES	1950-01-11
Dundee	56.4584	-2.9737	SPEEDY WORK AT DUNDEE HARBOUR	1950-01-11
Dundee	56.4584	-2.9737	CALEDON WILL CONVERT HEP	1950-01-11
Dundee	56.4584	-2.9737	DUNDEE WOMAN'S NURSING POST	1950-01-11
Constitution Road	56.4646	-2.9769	AMATEUR BOXERS COMPETE TO-NIGHT	1950-01-11
Brechin	56.7322	-2.6603	AMATEUR BOXERS COMPETE TO-NIGHT	1950-01-11
Montrose	56.7092	-2.4672	AMATEUR BOXERS COMPETE TO-NIGHT	1950-01-11
Dundee	56.4584	-2.9737	Dundee Face A "New" Clyde-And Their Bogy	1950-01-11
Arbroath	56.5623	-2.5841	Dundee Face A "New" Clyde-And Their Bogy	1950-01-11
Tannadice	56.7124	-2.8591	Dundee Face A "New" Clyde-And Their Bogy	1950-01-11
Montrose	56.7092	-2.4672	Dundee Face A "New" Clyde-And Their Bogy	1950-01-11
Brechin	56.7322	-2.6603	Dundee Face A "New" Clyde-And Their Bogy	1950-01-11
Brechin	56.7322	-2.6603	BRECHIN TIE SELL-OUT	1950-01-11
Dundee	56.4584	-2.9737	LEAGUE GUIDE TO FORM	1950-01-11
Arbroath	56.5623	-2.5841	LEAGUE GUIDE TO FORM	1950-01-11
Dundee	56.4584	-2.9737	TOM FERGUSSON STILL MANAGER	1950-01-11
Dundee	56.4584	-2.9737	HE HAS FOUGHT FOR THE HIGHLANDS	1950-01-11
Brechin	56.7322	-2.6603	FARMERS WILL AIR VIEWS ON HARVEST LABOUR PROBLEMS	1950-01-11
Dundee	56.4584	-2.9737	FARMERS WILL AIR VIEWS ON HARVEST LABOUR PROBLEMS	1950-01-11
Arbroath	56.5623	-2.5841	Firemaster Answers Critics	1950-01-11
Dundee	56.4584	-2.9737	Firemaster Answers Critics	1950-01-11
DUNDEE	56.4584	-2.9737	Courier AND Advertiser	1950-01-12
Dundee	56.4584	-2.9737	THE JUTE SITUATION	1950-01-12
Forfar	56.6441	-2.8890	TRIBUTE TO DISTRICT NURSES	1950-01-12
Auchterhouse	56.5249	-3.0869	PROTEST AT RADIO COMMDNION	1950-01-12
Broughty Ferry	56.4674	-2.8761	PROTEST AT RADIO COMMDNION	1950-01-12
Longforgan	56.4575	-3.1177	PROTEST AT RADIO COMMDNION	1950-01-12
Monikie	56.5335	-2.8134	PROTEST AT RADIO COMMDNION	1950-01-12
Tay Square	56.4578	-2.9763	PROTEST AT RADIO COMMDNION	1950-01-12
Dundee	56.4584	-2.9737	SATURDAY EVENING LECTURER	1950-01-12
Arbroath	56.5623	-2.5841	CURLING WINNERS HONOURED	1950-01-12
17 Priory Crescent	56.5690	-2.5818		1950-01-12
Arbroath	56.5623	-2.5841		1950-01-12
Guthrie	56.6472	-2.7089	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
345 Broad Street	56.4501	-2.8817	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
21 City Road	56.4653	-2.9996	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
Dundee	56.4584	-2.9737	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
Glamis	56.6084	-3.0038	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
9 Ogilvie Street	56.4714	-2.9623	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
40 North Street	56.4729	-2.9764	DUNDEE WINNERS IN ART UNION DRAW	1950-01-12
Montrose	56.7092	-2.4672		1950-01-12
Mid Wynd	56.4569	-2.9888	FATAL ACCIDENT IN JUTE WORKS	1950-01-12
15 Annfield Row	56.4592	-2.9927	FATAL ACCIDENT IN JUTE WORKS	1950-01-12
31 Church Street	56.4678	-2.8793	FATAL ACCIDENT IN JUTE WORKS	1950-01-12
Edzell	56.8097	-2.6557	EDZELL DROME TO REOPEN	1950-01-12
Montrose	56.7092	-2.4672	EDZELL DROME TO REOPEN	1950-01-12
Wormit	56.4241	-2.9809	HONOUR TO DUNDEE ART MASTER	1950-01-12
Dundee	56.4584	-2.9737	HONOUR TO DUNDEE ART MASTER	1950-01-12
Arbroath	56.5623	-2.5841	EAST CLUBS IN LUCK	1950-01-12
Brechin	56.7322	-2.6603	EAST CLUBS IN LUCK	1950-01-12
Dundee	56.4584	-2.9737	EAST CLUBS IN LUCK	1950-01-12
Ward Road	56.4615	-2.9761	FAREWELL SOCIAL TO MINISTER	1950-01-12
Monifieth	56.4831	-2.8161		1950-01-12
Broughty Ferry	56.4674	-2.8761		1950-01-12
Arbroath	56.5623	-2.5841	PLANES JOIN BOATS IN ALL-DAY HUNT FOR “GIRL JEAN”	1950-01-12
Edzell	56.8097	-2.6557	POLICE CONSTABLES v TRANSFERRED	1950-01-12
Carnoustie	56.5014	-2.7090	POLICE CONSTABLES v TRANSFERRED	1950-01-12
Monifieth	56.4831	-2.8161	POLICE CONSTABLES v TRANSFERRED	1950-01-12
11 North Street	56.7163	-2.4652	SPEEDSTERS FINED AT STONEHAVEN	1950-01-12
Montrose	56.7092	-2.4672	SPEEDSTERS FINED AT STONEHAVEN	1950-01-12
17 Canning Street	56.4740	-2.9775	SPEEDSTERS FINED AT STONEHAVEN	1950-01-12
Dundee	56.4584	-2.9737	SPEEDSTERS FINED AT STONEHAVEN	1950-01-12
39 St David Street	56.7321	-2.6611		1950-01-12
Brechin	56.7322	-2.6603		1950-01-12
Clova	56.8441	-3.1045	ONE ASSOCIATION LOOKED AHEAD	1950-01-12
Dundee	56.4584	-2.9737	Walter Sasskind As Piano Soloist	1950-01-12
Forfar Road	56.4847	-2.9514	HOCKEY	1950-01-12
DUNDEE	56.4584	-2.9737	HOCKEY	1950-01-12
Elliot Road	56.4619	-3.0197	HOCKEY	1950-01-12
96 Brook Street	56.4614	-2.9873	DEALERS CLAIM CAR OWNERSHIP	1950-01-12
Dundee	56.4584	-2.9737	DEALERS CLAIM CAR OWNERSHIP	1950-01-12
10 Bank Street	56.4608	-2.9727	DEALERS CLAIM CAR OWNERSHIP	1950-01-12
Brechin	56.7322	-2.6603	MIDLANDS BOXERS' BTG WIN	1950-01-12
Longforgan	56.4575	-3.1177	MR WOODBURN VISITS CASTLE HUNTLY	1950-01-12
Arbroath	56.5623	-2.5841	Dons Have Made 35 Tearn Changes	1950-01-12
BRECHIN	56.7322	-2.6603	Dons Have Made 35 Tearn Changes	1950-01-12
Brechin	56.7322	-2.6603	Dons Have Made 35 Tearn Changes	1950-01-12
Trades Lane	56.4624	-2.9652	DUNDEE TO HAVE 13 FLAG DAYS	1950-01-12
Princes Street	56.4830	-2.8103	DUNDEE TO HAVE 13 FLAG DAYS	1950-01-12
Edzell	56.8097	-2.6557	SHAKIN' BRIG TO CLOSE	1950-01-13
Brechin	56.7322	-2.6603	SHAKIN' BRIG TO CLOSE	1950-01-13
Princes Street	56.5568	-2.5931	CHURCH WELCOMES NEW PASTOR	1950-01-13
Arbroath	56.5623	-2.5841	ARBROATH POLICE PROMOTION	1950-01-13
Forfar	56.6441	-2.8890		1950-01-13
Gannochy	56.8256	-2.6576		1950-01-13
Reform Street	56.4477	-2.8838		1950-01-13
Brechin	56.7322	-2.6603	STATION A “SHAMBLES”	1950-01-13
Forfar Road	56.5944	-2.6436	STATION A “SHAMBLES”	1950-01-13
Monifieth	56.4831	-2.8161	He's Sure Glad To Be Back	1950-01-13
104 Castle Street	56.6466	-2.8888	FORFAR WOMAN'S FRAUD	1950-01-13
Forfar	56.6441	-2.8890	FORFAR WOMAN'S FRAUD	1950-01-13
8 Benvie Road	56.4902	-3.1034		1950-01-13
Arbroath	56.5623	-2.5841	SKIPPER PUTS PLAN TO FIND GIRL JEAN	1950-01-13
27 Dishlandtown Street	56.5572	-2.5901	SKIPPER PUTS PLAN TO FIND GIRL JEAN	1950-01-13
Lunan	56.6642	-2.5075		1950-01-13
21 Hunter Crescent	56.4595	-3.0603	PERTH RAILWAYMAN'S APPEAL DROPPED	1950-01-13
Arbroath	56.5623	-2.5841	A Murrayfield Record Is In Danger	1950-01-13
Elliot Road	56.4619	-3.0197	A Murrayfield Record Is In Danger	1950-01-13
Inverarity	56.5877	-2.8914	BLAIR N.F.U. OFFICIALS	1950-01-13
Dundee	56.4584	-2.9737	They Wont Be Home Till Morning!	1950-01-13
Tannadice	56.7124	-2.8591	They Wont Be Home Till Morning!	1950-01-13
Buchanan Street	56.4709	-2.9621	They Wont Be Home Till Morning!	1950-01-13
Carnoustie	56.5014	-2.7090	They Wont Be Home Till Morning!	1950-01-13
EAST END	56.8287	-2.2822	They Wont Be Home Till Morning!	1950-01-13
Arbroath	56.5623	-2.5841	They Wont Be Home Till Morning!	1950-01-13
Brechin	56.7322	-2.6603	They Wont Be Home Till Morning!	1950-01-13
Lundie	56.5162	-3.1552	CURLING	1950-01-13
Dundee	56.4584	-2.9737	Lynch May Have To Call Off At Shawfield	1950-01-13
Montrose	56.7092	-2.4672	Lynch May Have To Call Off At Shawfield	1950-01-13
Arbroath	56.5623	-2.5841	Lynch May Have To Call Off At Shawfield	1950-01-13
Brechin	56.7322	-2.6603	BRECHIN TIEDECISION TO-DAY	1950-01-13
Lundie	56.5162	-3.1552	CHRISTMAS TREE THIEVES FINED	1950-01-13
8 Morgan Place	56.4706	-2.9539	CHRISTMAS TREE THIEVES FINED	1950-01-13
48 Princes Street	56.4663	-2.9604	CHRISTMAS TREE THIEVES FINED	1950-01-13
Dundee	56.4584	-2.9737	CHRISTMAS TREE THIEVES FINED	1950-01-13
Monifieth	56.4831	-2.8161	CHRISTMAS TREE THIEVES FINED	1950-01-13
Forfar	56.6441	-2.8890	Train Cuts Mean Upsets In Angus	1950-01-13
Brechin	56.7322	-2.6603	Train Cuts Mean Upsets In Angus	1950-01-13
Tannadice	56.7124	-2.8591	Train Cuts Mean Upsets In Angus	1950-01-13
Careston	56.7330	-2.7539	Train Cuts Mean Upsets In Angus	1950-01-13
91 Blackness Road	56.4607	-3.0034	WELL-KNOWN CITY CHURCHWOMAN	1950-01-14
Dundee	56.4584	-2.9737	WELL-KNOWN CITY CHURCHWOMAN	1950-01-14
Arbroath	56.5623	-2.5841	ARBROATH HEAD OBSERVER HONOURED	1950-01-14
28 Muirfield Crescent	56.4815	-2.9896	DUNDEE ESTATES	1950-01-14
Dundee	56.4584	-2.9737	DUNDEE ESTATES	1950-01-14
4 Deerpark Road	56.4725	-2.9431	DUNDEE ESTATES	1950-01-14
12 Lynnewood Place	56.4756	-2.9522	DUNDEE ESTATES	1950-01-14
18 Elm Street	56.4616	-3.0029	DUNDEE ESTATES	1950-01-14
Dundee	56.4584	-2.9737	DUNDEE CANDIDATE OUTLINES POLICY	1950-01-14
Dundonald Street	56.4721	-2.9625	CITY B.B.'s 54th REUNION	1950-01-14
Montrose	56.7092	-2.4672		1950-01-14
Arbroath	56.5623	-2.5841	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
Ferryden	56.6989	-2.4752	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
Montrose	56.7092	-2.4672	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
27 Dishlandtown Street	56.5572	-2.5901	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
12 Ambrose Street	56.4653	-2.8754	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
Dundee	56.4584	-2.9737	'COURIER' TALKS WITH RESCUE SHIP	1950-01-14
Dundee	56.4584	-2.9737	Curlers' Wives Get Know-How	1950-01-14
92 Scott Street	56.7294	-2.6495		1950-01-14
Montrose	56.7092	-2.4672		1950-01-14
Lundie	56.5162	-3.1552	MOTORS MAKE MAILS LATER	1950-01-14
Airlie	56.6383	-3.1168	Canadians Lippen On Angus	1950-01-14
Carnoustie	56.5014	-2.7090	Canadians Lippen On Angus	1950-01-14
Mains Loan	56.4807	-2.9576	Canadians Lippen On Angus	1950-01-14
Kingsway	56.4827	-2.9706	THE MANY USES OF JUTE	1950-01-14
Dundee	56.4584	-2.9737	THE MANY USES OF JUTE	1950-01-14
Dundee	56.4584	-2.9737	TRIBUNAL ALLOWS PLATER'S APPEAL	1950-01-14
Arbroath	56.5623	-2.5841	G.P.s IMPORTANCE STRESSED	1950-01-14
KINNAIRD	56.7076	-2.5983	Tay Anglers' Hopes Lie On This Week-End	1950-01-14
Kinnaird	56.7076	-2.5983	Tay Anglers' Hopes Lie On This Week-End	1950-01-14
Montrose	56.7092	-2.4672		1950-01-14
Carnoustie	56.5014	-2.7090		1950-01-14
Tannadice	56.7124	-2.8591	DUNFERMLINE SIGN CELT	1950-01-14
Kingsway	56.4827	-2.9706	GALLANT TIGERS FAIL	1950-01-14
Brechin	56.7322	-2.6603	Tie Goes On At Glebe Park-As Yet	1950-01-14
Dundee	56.4584	-2.9737	Tie Goes On At Glebe Park-As Yet	1950-01-14
Arbroath	56.5623	-2.5841	Tie Goes On At Glebe Park-As Yet	1950-01-14
Forfar	56.6441	-2.8890	Tie Goes On At Glebe Park-As Yet	1950-01-14
Station Park	56.8286	-2.2852	Tie Goes On At Glebe Park-As Yet	1950-01-14
Tannadice	56.7124	-2.8591	Tie Goes On At Glebe Park-As Yet	1950-01-14
Dundee	56.4584	-2.9737	KING'S "B" IN TOP FORM	1950-01-14
Ward Road	56.4615	-2.9761	DUNDEE v. GLASGOW AT BADMINTON	1950-01-14
Dundee	56.4584	-2.9737	DUNDEE v. GLASGOW AT BADMINTON	1950-01-14
Forfar	56.6441	-2.8890	To-Day's Line-Up	1950-01-14
Trottick Mains	56.4918	-2.9713	NEW PRESIDENT FOR LEGION BRANCH	1950-01-14
Dundee	56.4584	-2.9737	NEW PRESIDENT FOR LEGION BRANCH	1950-01-14
46 Charles Street	56.4981	-2.7233	NEW PRESIDENT FOR LEGION BRANCH	1950-01-14
99 Clement Park Road	56.4762	-3.0127	NEW PRESIDENT FOR LEGION BRANCH	1950-01-14
18 Union Place	56.4553	-2.9928	Scone Bride Defies Superstition	1950-01-14
Dundee	56.4584	-2.9737	Scone Bride Defies Superstition	1950-01-14
228 Arbroath Road	56.4739	-2.9239	DRIVERS UNHURT IN MOTOR COLLISION	1950-01-14
Dundee	56.4584	-2.9737	DRIVERS UNHURT IN MOTOR COLLISION	1950-01-14
Longforgan	56.4575	-3.1177	DRIVERS UNHURT IN MOTOR COLLISION	1950-01-14
Dundee	56.4584	-2.9737	ST ANDREWS SHOWS ITS HAND	1950-01-17
Montrose	56.7092	-2.4672	CANDIDATE WANTS 45-HOUR WEEK	1950-01-17
Forfar	56.6441	-2.8890	JOINT FUEL OVERSEER PROPOSAL	1950-01-17
Longforgan	56.4575	-3.1177	GIFTS TO LONGFORGAN MINISTER	1950-01-17
Letham	56.6288	-2.7696	WATER SUPPLY FOR LUNANHEAD	1950-01-17
Kingsmuir	56.6330	-2.8520	WATER SUPPLY FOR LUNANHEAD	1950-01-17
Ferryden	56.6989	-2.4752	WATER SUPPLY FOR LUNANHEAD	1950-01-17
Dundee	56.4584	-2.9737	FACES FRAUD CHARGES	1950-01-17
Arbroath	56.5623	-2.5841		1950-01-17
Dundee	56.4584	-2.9737		1950-01-17
Montrose	56.7092	-2.4672	Trust May Bid For Bonnie Banks	1950-01-17
7 City Road	56.7313	-2.6578		1950-01-17
Brechin	56.7322	-2.6603		1950-01-17
Edzell	56.8097	-2.6557	WOMEN MOTORISTS IN CRASH	1950-01-17
76 Balfour Street	56.4584	-2.9830	SIX MONTHS FOR KIRKCALDY MAN	1950-01-17
Arbroath	56.5623	-2.5841	ARBROATH FARMING OFFICIALS	1950-01-17
CRAIGIE	56.4777	-2.9307		1950-01-17
Bridgend	56.8044	-2.7600	FORFAR PRICES	1950-01-17
Hilltown	56.4690	-2.9746	FORFAR PRICES	1950-01-17
Arbroath	56.5623	-2.5841	BOY'S ADMISSION IN GIRL JEAN CASE	1950-01-17
Brechin	56.7322	-2.6603	RAIL CHARGES CHECK SCOTS TRADE	1950-01-17
Glamis	56.6084	-3.0038	RAIL CHARGES CHECK SCOTS TRADE	1950-01-17
Forfar	56.6441	-2.8890	RAIL CHARGES CHECK SCOTS TRADE	1950-01-17
Montrose	56.7092	-2.4672	RAIL CHARGES CHECK SCOTS TRADE	1950-01-17
Cortachy	56.7249	-2.9922	RAIL CHARGES CHECK SCOTS TRADE	1950-01-17
34 Hunter Street	56.4595	-2.9819		1950-01-17
Dundee	56.4584	-2.9737		1950-01-17
Arbroath	56.5623	-2.5841	LEAGUE GUIDE TO FORM	1950-01-17
Brechin	56.7322	-2.6603	A "No Ticket, No Trip" Appeal To Celtic Supporters	1950-01-17
Monifieth	56.4831	-2.8161	A "No Ticket, No Trip" Appeal To Celtic Supporters	1950-01-17
Brechin	56.7322	-2.6603	That C League Again!	1950-01-17
Montrose	56.7092	-2.4672	That C League Again!	1950-01-17
Reform Street	56.4614	-2.9712	FOOD OFFICE PUTTINGS CUT DOWN COSTS	1950-01-17
Castle Street	56.4602	-2.9677	FOOD OFFICE PUTTINGS CUT DOWN COSTS	1950-01-17
South Tay Street	56.4583	-2.9762	FOOD OFFICE PUTTINGS CUT DOWN COSTS	1950-01-17
Long Wynd	56.4586	-2.9746	FOOD OFFICE PUTTINGS CUT DOWN COSTS	1950-01-17
Gauldry	56.4028	-3.0104	Candidate Turns Panto Producer	1950-01-17
Birkhill	56.4960	-3.0549	Candidate Turns Panto Producer	1950-01-17
Liff Road	56.4781	-3.0413	PERTH DRIVER FINED	1950-01-17
31 Longhaugh Terrace	56.4873	-2.9300	PERTH DRIVER FINED	1950-01-17
Dundee	56.4584	-2.9737	PERTH DRIVER FINED	1950-01-17
Kingsway	56.4827	-2.9706	THIEF GOT £20—AND A HALF-BOTTLE	1950-01-17
Dundee	56.4584	-2.9737	THIEF GOT £20—AND A HALF-BOTTLE	1950-01-17
DUNDEE	56.4584	-2.9737	Courier AND Advertiser	1950-01-18
Forfar	56.6441	-2.8890		1950-01-18
139 High Street	56.7115	-2.4683	Family In Court Dispute Over Furniture	1950-01-18
Montrose	56.7092	-2.4672	Family In Court Dispute Over Furniture	1950-01-18
2 Palmerston Street	56.7076	-2.4637	Family In Court Dispute Over Furniture	1950-01-18
Brechin	56.7322	-2.6603	Family In Court Dispute Over Furniture	1950-01-18
Dundee	56.4584	-2.9737	INCENTIVE IS THE ANSWER	1950-01-18
Oathlaw	56.6952	-2.8587	CHAIRMAN OP NEW FORFAR COMMITTEE	1950-01-18
22 Commercial Street	56.4614	-2.9681	CITY CHAMBERLAIN AT BUSINESS CLUB	1950-01-18
Kirriemuir	56.6731	-3.0045		1950-01-18
Forfar	56.6441	-2.8890		1950-01-18
Court Street	56.4737	-2.9633		1950-01-18
Bridge Street	56.4337	-2.9481		1950-01-18
